Batting Innings,Batting Position,Runs Scored,Balls Faced,Batting Strikerate,Out/NotOut,4s,6s,50s,100s,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs,Strikerate in first 20 balls,Strikerate in 20 to 30 balls,Strikerate after 30 balls,Bowling Innings,Runs Given,Balls Bowled,Wickets Taken,Economy Rate,Bowling Strikerate,3 wicket hauls,5 wicket hauls,Wickets in Powerplay,Wickets in Middle Overs,Wickets in Death Overs,Economy in Powerplay,Economy in Middle Overs,Economy in Death Overs,Catches or Runouts as Fielder,Match Result,Man of the match
2.0,4.0,16.0,24.0,66.67,1.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,50.0,150.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
2.0,5.0,36.0,35.0,102.86,1.0,4.0,1.0,0.0,0.0,0.0,27.0,9.0,95.0,90.0,160.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,14.0,18.0,77.78,1.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,77.78,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,3.0,2.0,4.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
2.0,1.0,5.0,8.0,62.5,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,62.5,-1.0,-1.0,1.0,17.0,13.0,0.0,7.85,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,7.85,0.0,0.0,0.0
1.0,0.0,158.0,73.0,216.44,0.0,10.0,13.0,0.0,1.0,41.0,61.0,56.0,205.0,60.0,258.14,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
2.0,0.0,5.0,5.0,100.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,100.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,24.0,12.0,200.0,1.0,2.0,2.0,0.0,0.0,24.0,0.0,0.0,200.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,1.0,3.0,33.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.33,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
